Event_ID,Event Year,Event Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Event Type,Demand Loss (MW),Number of Customers Affected,Alert Criteria
1018,2002-01-01,December,2002-12-03 00:00:00,18:30:00,2002-12-09 00:00:00.000000000,22:30:00,Arkansas,SPP,Ice Storm,NA,43000,
1019,2002-01-01,December,2002-12-11 00:00:00,13:09:00,2002-12-13 00:00:00.000000000,22:00:00,Northern Virginia to Fredericksburg,SERC,Winter Storm,63.0,130000,
1020,2002-01-01,December,2002-12-14 00:00:00,11:00:00,2002-12-19 00:00:00.000000000,16:00:00,Northern and Central California,WSCC,Winter Storm,180.0,,
1021,2002-01-01,December,2002-12-19 00:00:00,06:00:00,2002-12-21 00:00:00.000000000,17:00:00,Northern and Central California,WSCC,Winter Storm,56.0,385000,
1022,2002-01-01,December,2002-12-25 00:00:00,17:00:00,2002-12-26 00:00:00.000000000,05:00:00,Eastern Pennsylvania,MAAC,Winter Storm,250.0,106000,
1023,2002-01-01,December,2002-12-25 00:00:00,10:00:00,2002-12-27 00:00:00.000000000,08:30:00,"Reading, York, Hanover, Hamburg Pennsylvania",MAAC,Winter Storm,NA,95630,
1001,2003-01-01,January,2003-01-25 00:00:00,14:00:00,2003-01-26 00:00:00.000000000,02:00:00,"Cincinnati, Ohio",ECAR,Cyber Threat From Internet ,NA,,
1002,2003-01-01,February,2003-02-27 00:00:00,11:32:00,2003-03-01 00:00:00.000000000,08:00:00,"Piedmont, North Carolina",SERC,Winter Ice Storm,1000.0,,
1003,2003-01-01,April,2003-04-03 00:00:00,19:00:00,2003-04-06 00:00:00.000000000,17:00:00,Lower Michigan Peninsula ,ECAR,Ice Storm,300.0,425000,
1004,2003-01-01,April,2003-04-04 00:00:00,03:11:00,2003-04-05 00:00:00.000000000,14:00:00,"New York, ",NPCC,Severe Storm ,200-250,160000,
1005,2003-01-01,April,2003-04-15 00:00:00,11:00:00,2003-04-15 00:00:00.000000000,14:06:00,"Cities of Bryan,",ERCOT,Relaying Malfunction,212.0,68530,
1006,2003-01-01,April,2003-04-28 00:00:00,15:41:00,,,"County of Waukesha,  Wisconsin, ",MAIN,Vandalism,0.0,0,
1007,2003-01-01,May,2003-05-02 00:00:00,17:00:00,,,"Piedmont, North and",SERC,Severe Thunderstorms,1500.0,139000,
1008,2003-01-01,May,2003-05-02 00:00:00,20:00:00,2003-05-03 00:00:00.000000000,08:00:00,"Central Georgia,",SERC,Severe Thunderstorms,130.0,,
1009,2003-01-01,May,2003-05-15 00:00:00,02:52:00,2003-05-15 00:00:00.000000000,03:29:00,North Texas,ERCOT,Interruption of Firm ,476.0,192000,
1010,2003-01-01,May,2003-05-15 00:00:00,14:00:00,2003-06-16 00:00:00.000000000,14:00:00,Upper Michigan Peninsula,MAIN,Flood,240.0,2,
1011,2003-01-01,June,2003-06-15 00:00:00,15:12:00,2003-06-16 00:00:00.000000000,17:00:00,Idaho,WECC,Public Appeal ,0.0,0,
1012,2003-01-01,June,2003-06-30 00:00:00,13:00:00,2003-06-30 00:00:00.000000000,00:00:00,Coastal areas of,SPP,Tropical Storm Bill,NA,179299,
1013,2003-01-01,July,2003-07-01 00:00:00,15:15:00,2003-07-01 00:00:00.000000000,15:50:00,"Phoenix, Arizona",WECC,Breaker Failure,1000.0,47000,
1014,2003-01-01,July,2003-07-02 00:00:00,13:54:00,2003-07-02 00:00:00.000000000,15:59:00,Northern California,WECC,Unit Tripped,200.0,1,
1015,2003-01-01,July,2003-07-04 00:00:00,06:00:00,2003-07-04 00:00:00.000000000,10:00:00,Southeast Wisconsin,MAIN,Severe Thunderstorms,150.0,52000,
1016,2003-01-01,July,2003-07-04 00:00:00,09:00:00,2003-07-06 00:00:00.000000000,16:00:00,Lower Michigan Peninsula,ECAR,Severe Thunderstorms,75-90 ,131000,
1017,2003-01-01,July,2003-07-04 00:00:00,23:41:00,2003-07-06 00:00:00.000000000,21:00:00,"Southwest Ohio, portions of Indiana",ECAR,Severe Storms,200.0,55142,
1018,2003-01-01,July,2003-07-05 00:00:00,03:00:00,2003-07-05 00:00:00.000000000,07:00:00,Northern Illinois,MAIN,Severe Storms,80.0,130000,
1019,2003-01-01,July,2003-07-07 00:00:00,09:00:00,2003-07-07 00:00:00.000000000,15:00:00,Northern Illinois,MAIN,Severe Thunderstorms,NA,72000,
1020,2003-01-01,July,2003-07-08 00:00:00,04:00:00,2003-07-11 00:00:00.000000000,16:00:00,Ohio,ECAR,Severe Thunderstorms,11000.0,134500,
1021,2003-01-01,July,2003-07-09 00:00:00,17:14:00,2003-07-09 00:00:00.000000000,19:09:00,Northern Central and Eastern Virginia,SERC,Severe Thunderstorms,120.0,80000,
1022,2003-01-01,July,2003-07-15 00:00:00,08:24:00,2003-07-21 00:00:00.000000000,10:30:00,Texas,ERCOT,Hurricane Claudette,230-300,108000,
1023,2003-01-01,July,2003-07-21 00:00:00,17:15:00,2003-07-24 00:00:00.000000000,05:33:00,Pennsylvania,MAAC,Severe Storms,500-1000,185000,
1024,2003-01-01,July,2003-07-28 00:00:00,18:55:00,2003-07-28 00:00:00.000000000,20:35:00,Arizona,WECC,Breaker Closed,440.0,90000,
1025,2003-01-01,August,2003-08-14 00:00:00,,,,Geographic areas for MISO Reliability Coordination footprint:  Michigan and Ohio,ECAR,Unknown ,"Approx. 18,500 MW, in MISO area:",,
1026,2003-01-01,August,2003-08-14 00:00:00,16:09:00,2003-08-16 00:00:00.000000000,07:00:00,Southeastern Michigan including all of Detroit,ECAR,Unknown ,11000.0,2100000,
1027,2003-01-01,August,2003-08-14 00:00:00,16:09:00,2003-08-16 00:00:00.000000000,13:03:00,"Southern Lower  Michigan and small areas near Flint, Alma, Saginaw, and Lansing Michigan",ECAR,Unknown ,1007.0,101000,
1028,2003-01-01,August,2003-08-14 00:00:00,16:10:00,2003-08-16 00:00:00.000000000,20:27:00,"Northeast, Ohio",ECAR,Unknown ,7000.0,1203000,
1029,2003-01-01,August,2003-08-14 00:00:00,16:10:00,2003-08-16 00:00:00.000000000,03:45:00,Southwestern Connecticut and a small portion of Western Massachusetts and Vermont,NPCC,Unknown ,2500.0,,
1030,2003-01-01,August,2003-08-14 00:00:00,16:10:00,2003-08-18 00:00:00.000000000,00:03:00,New York State,NPCC,Unknown ,22934.0,,
1031,2003-01-01,August,2003-08-14 00:00:00,16:10:00,2003-08-14 00:00:00.000000000,23:48:00,"New York- Buffalo to Albany; Ontario, Canada to Pennsylvania",NPCC,Unknown ,NA,840137,
1032,2003-01-01,August,2003-08-14 00:00:00,16:10:00,,,"Northern New Jersey Erie, Pennsylvania  area",MAAC,Unknown ,"4,100 MW (Northern NJ) and 400 MW, (Erie,  PA) area",,
1033,2003-01-01,August,2003-08-14 00:00:00,16:11:00,2003-08-15 00:00:00.000000000,21:03:00,Entire Con Edison System (five boroughs of NYC and Westchester County),NPCC,Unknown ,11202.0,3125350,
1034,2003-01-01,August,2003-08-26 00:00:00,16:00:00,,,"Maryland: Anne Arundel County, Baltimore County, Calvert County, Carroll County, Howard County, Montgomery County,  Prince George's and Baltimore City.",MAAC,Severe Thunderstorms,625.0,,
1035,2003-01-01,August,2003-08-26 00:00:00,16:22:00,2003-08-31 00:00:00.000000000,18:00:00,"Washington, D.C.,  Montgomery County,  Prince Georges County, Maryland",MAAC,Severe Thunderstorms,1500.0,153000,
1036,2003-01-01,September,2003-09-07 00:00:00,05:19:00,2003-09-07 00:00:00.000000000,18:00:00,Upper Michigan Peninsula,MAIN,Transmission  Equipment,310.0,,
1037,2003-01-01,September,2003-09-18 00:00:00,08:20:00,2003-09-29 00:00:00.000000000,22:42:00,"North Eastern North Carolina, Eastern Central , and Northern Virginia",SERC,Hurricane Isabel,6512.0,,
1038,2003-01-01,September,2003-09-18 00:00:00,11:45:00,,,Eastern North Carolina,SERC,Hurricane Isabel,peak 1655 ,,
1039,2003-01-01,September,2003-09-18 00:00:00,,2003-09-26 00:00:00.000000000,22:50:00,"Central Maryland (Baltimore City, Baltimore County, Anne Arundel County, Hartford County, Montgomery County, Calvert County, Prince George's County, Carroll County and Howard County)",MAAC,Hurricane Isabel,2000.0,650000,
1040,2003-01-01,September,2003-09-18 00:00:00,14:00:00,,,"Maryland, West Virginia, Virginia and Pennsylvania",MAAC,Hurricane Isabel,3085.0,237366,
1041,2003-01-01,September,2003-09-18 00:00:00,15:32:00,2003-09-19 00:00:00.000000000,17:00:00,Triangle and Tridad (Greensboro – High Point)  Areas North Carolina - Northern Region,SERC,Hurricane Isabel,500-700,,
1042,2003-01-01,September,2003-09-18 00:00:00,16:20:00,2003-09-28 00:00:00.000000000,18:00:00,"District of Columbia, Montgomery and Prince George's Counties, Maryland",MAAC,Hurricane Isabel,NA,,
1043,2003-01-01,September,2003-09-18 00:00:00,21:00:00,2003-09-21 00:00:00.000000000,17:00:00,"All PPL including: Williamsport, Harrisburg, Lancaster, Scranton and Allentown areas",MAAC,Hurricane Isabel,1300.0,425000,
1044,2003-01-01,October,2003-10-26 00:00:00,01:44:00,,,"San Diego County, California",WECC ,Wild Fire,N/A,,
1045,2003-01-01,November,2003-11-05 00:00:00,15:16:00,2003-11-05 00:00:00.000000000,15:54:00,Maryland/Virginia border,MAAC,Tornado,350.0,1,
1046,2003-01-01,November,2003-11-12 00:00:00,17:00:00,2003-11-16 00:00:00.000000000,18:00:00,Lower Michigan Peninsula,ECAR,Wind Storm,75-90 ,245000,
1047,2003-01-01,November,2003-11-12 00:00:00,17:00:00,2003-11-12 00:00:00.000000000,19:00:00,Northern Illinois,MAIN,High Winds,Est. 371.1,51000,
1048,2003-01-01,November,2003-11-12 00:00:00,18:00:00,2003-11-16 00:00:00.000000000,17:00:00,Southeastern Michigan,ECAR,Storm with High Winds,Est. 75,160000,
1049,2003-01-01,November,2003-11-13 00:00:00,06:00:00,2003-11-16 00:00:00.000000000,16:00:00,"Central Maryland (Baltimore City, Baltimore County, Anne Arundel County, Harford County, Montgomery County, Calvert County, Prince George's County, Carroll County and Howard County)",MAAC,High Winds,375.0,110000,
1050,2003-01-01,November,2003-11-13 00:00:00,07:30:00,2003-11-14 00:00:00.000000000,06:30:00,New York,NPCC,Storm with High Winds,Approx. 180,50280,
1051,2003-01-01,November,2003-11-13 00:00:00,11:00:00,2003-11-14 00:00:00.000000000,07:30:00,"Washington, D.C., Montgomery County, Prince Georges County, Md",MAAC,Major Wind Storm,Est. 400,,
1052,2003-01-01,November,2003-11-13 00:00:00,13:40:00,2003-11-13 00:00:00.000000000,15:51:00,"Northern Virginia, Richmond area, Eastern Virginia",SERC,Wind Storm,300.0,67000,
1053,2003-01-01,December,2003-12-01 00:00:00,18:16:00,2003-12-01 00:00:00.000000000,20:11:00,Cape Cod and part of SE Massachusetts,NPCC,Wild Fire  Transmission Equipment,630.0,300000,
1054,2003-01-01,December,2003-12-04 00:00:00,07:00:00,2003-12-08 00:00:00.000000000,07:00:00,Eastern portions of King County and Pierce County,WECC,High Winds,175.0,,
1055,2003-01-01,December,2003-12-04 00:00:00,22:34:00,2003-12-07 00:00:00.000000000,08:30:00,Northeast Wisconsin and Central/Western Upper Peninsula of Michigan,MAIN,Fault on 138 KV line,650.0,,
1056,2003-01-01,December,2003-12-04 00:00:00,22:15:00,2003-12-08 00:00:00.000000000,08:30:00,Upper Peninsula of Michigan and Northeastern Wisconsin,MAIN,Fault on 138 KV line,500.0,36000,
1057,2003-01-01,December,2003-12-05 00:00:00,04:49:00,2003-12-05 00:00:00.000000000,06:25:00,State of Florida - Dade County,FRCC,Transmission Equipment,27.0,16500,
1058,2003-01-01,December,2003-12-05 00:00:00,07:00:00,2003-12-05 00:00:00.000000000,20:00:00,Northeast Wisconsin and Central/Western Upper Peninsula of Michigan,MAIN,Transmission Equipment,14.0,2,
1059,2003-01-01,December,2003-12-20 00:00:00,15:51:00,2003-12-21 00:00:00.000000000,23:45:00,"San Francisco, California",WECC,Cable Failure,150.0,120000,
1060,2003-01-01,December,2003-12-22 00:00:00,11:15:00,2003-12-22 00:00:00.000000000,11:16:00,Central California Coast,WECC,Earthquake,220.0,109750,
1061,2003-01-01,December,2003-12-28 00:00:00,21:00:00,2004-01-01 00:00:00.000000000,11:30:00,Northern California,WECC,Winter Storm,160.0,241000,
1001,2004-01-01,January,2004-01-01 00:00:00,07:30:00,2004-01-02 00:00:00.000000000,16:00:00,Northern California,WECC,Winter Storm,170.0,263000,
1002,2004-01-01,January,2004-01-07 00:00:00,,2004-01-10 00:00:00.000000000,17:00:00,King County,WECC,Snow Storm,150.0,145000,
1003,2004-01-01,January,2004-01-08 00:00:00,15:00:00,2004-01-10 00:00:00.000000000,19:00:00,"Lake Placid/Saranac, New York",NPCC,Public Appeal to Reduce Load,100.0,18600,
1004,2004-01-01,January,2004-01-14 00:00:00,06:00:00,,,"Lake Placid/Saranac, New York",NPCC,Public Appeal to Reduce Load,100.0,18600,
1005,2004-01-01,January,2004-01-26 00:00:00,10:00:00,2004-01-28 00:00:00.000000000,08:00:00,Central South Carolina,SERC ,Ice Storm,500-700,150000,
1006,2004-01-01,January,2004-01-26 00:00:00,14:00:00,2004-01-27 00:00:00.000000000,20:00:00,North and Central area of Georgia,SERC,Ice Storm,Less than 150,30689,
1007,2004-01-01,January,2004-01-26 00:00:00,16:00:00,2004-01-29 00:00:00.000000000,06:30:00,Central and Eastern North Carolina and Northern and Eastern South Carolina,SERC,Ice Storm,475.0,9905,
1008,2004-01-01,January,2004-01-28 00:00:00,13:09:00,2004-01-29 00:00:00.000000000,05:00:00,"Harford County, Maryland", MAAC,Ice Storm,Approx. 300,,
1009,2004-01-01,February,2004-02-05 00:00:00,20:00:00,2004-02-09 00:00:00.000000000,20:00:00,"Maryland, Southeastern West Virginia, Northern Virginia, Northern Pennsylvania and South Central Pennsylvania",MAAC,Ice Storm,60.0,87456,
1010,2004-01-01,February,2004-02-14 00:00:00,20:00:00,,,"Lake Colby, Lake Placid, Tupper Lake",NPCC,Public Appeal to Reduce Load,Approx. 30  ,18600,
1011,2004-01-01,February,2004-02-17 00:00:00,14:25:00,2004-02-17 00:00:00.000000000,23:57:00,"San Francisco Bay area, California",WECC,Lightning struck Intertie Breaker ,220.0,,
1012,2004-01-01,February,2004-02-25 00:00:00,00:01:00,2004-02-26 00:00:00.000000000,10:00:00,Northern California,WECC,Winter Storm,240.0,505000,
1013,2004-01-01,February,2004-02-26 00:00:00,00:00:00,2004-02-26 00:00:00.000000000,01:30:00,Georgia,SERC,Severe Storm,10.0,47165,
1014,2004-01-01,March,2004-03-04 00:00:00,05:00:00,2004-03-16 00:00:00.000000000,14:45:00,North Texas,ERCOT,High Winds  Severe Storm,Less than 300,63000,
1015,2004-01-01,March,2004-03-07 00:00:00,18:30:00,2004-03-09 00:00:00.000000000,08:00:00,North and South Carolina,SERC,Severe Storm,1000.0,206000,
1016,2004-01-01,March,2004-03-08 00:00:00,18:22:00,2004-03-08 00:00:00.000000000,18:55:00,Southern California not including LA,WECC,Inadequate Resources,300.0,,
1017,2004-01-01,March,2004-03-17 00:00:00,13:27:00,2004-03-17 00:00:00.000000000,14:06:00,"El Paso, Texas",WECC,Faulty Switch,Approx. 300,,
1018,2004-01-01,April,2004-04-10 00:00:00,20:00:00,2004-04-11 00:00:00.000000000,16:00:00,"Houston, Texas and surrounding suburban areas",ERCOT,Thunderstorms,Approx. 100,,
1019,2004-01-01,April,2004-04-12 00:00:00,05:30:00,2004-04-12 00:00:00.000000000,10:15:00,FPL's service territory mostly in Naples and Ft. Myers Florida,FRCC,Storm with High Winds,250.0,179000,
1020,2004-01-01,April,2004-04-27 00:00:00,12:35:00,2004-04-30 00:00:00.000000000,12:00:00,Snohomish County Washington,WECC,Strong Winds,Approx. 300,187000,
1021,2004-01-01,May,2004-05-03 00:00:00,14:30:00,2004-05-03 00:00:00.000000000,19:00:00,Central and Southern California,WECC,Heat Storm,662.0,,
1022,2004-01-01,May,2004-05-11 00:00:00,15:30:00,2004-05-11 00:00:00.000000000,18:00:00,"Houston, Texas and surrounding suburban areas",ERCOT,Strong Thunderstorms,Approx. 85,,
1023,2004-01-01,May,2004-05-21 00:00:00,02:00:00,2004-05-24 00:00:00.000000000,00:00:00,Akron and Youngstown areas,ECAR,Severe Thunderstorms,"133 on 5/21/04  between 3:00 a.m. and 4:00  a.m., 392 on 5/21/04 between 4:00 p.m. and 5:00 p.m.",281000,
1024,2004-01-01,May,2004-05-21 00:00:00,02:00:00,2004-05-24 00:00:00.000000000,00:00:00,Cleveland area,ECAR,Severe Thunderstorms,177 on 5/21/04 between 3:00 p.m. and 5:00 p.m.,127000,
1025,2004-01-01,May,2004-05-21 00:00:00,05:30:00,2004-05-25 00:00:00.000000000,00:00:00,"Western Pennsylvania, Northern West Virginia, Western Maryland, Northern Virginia",MAAC,High Winds and Heavy Rains,"60 at peak, ",,
1026,2004-01-01,May,2004-05-21 00:00:00,11:00:00,2004-05-26 00:00:00.000000000,21:00:00,"Northern and Southern Michigan, AEP Fort Wayne/Michigan Region, Buchanan, Elkhart, New Buffalo, South Bend, St. Joseph, Three Rivers areas",ECAR,Severe Thunderstorms,303.0,122600,
1027,2004-01-01,May,2004-05-21 00:00:00,13:00:00,2004-05-25 00:00:00.000000000,12:00:00,"Lower peninsula of Michigan following cities:  Grand Rapids, Kalamazoo, Battle Creek, Jackson, Bronson, Jonesville, Flint",ECAR,Severe Thunderstorms,200.0,248209,
1028,2004-01-01,May,2004-05-21 00:00:00,16:00:00,2004-05-24 00:00:00.000000000,20:00:00,Southeast Michigan,ECAR,Severe Thunderstorms,630.0,,
1029,2004-01-01,May,2004-05-28 00:00:00,12:00:00,2004-05-31 00:00:00.000000000,00:00:00,"Florida counties of Gadsden, Wakulla, Leon, and Liberty",FRCC ,Public Appeals,0.0,0,
1030,2004-01-01,May,2004-05-28 00:00:00,12:00:00,2004-05-31 00:00:00.000000000,00:00:00,"Florida counties of Gadsden, Wakulla, Leon, and Liberty",FRCC,Public Appeals,0.0,0,
1031,2004-01-01,May,2004-05-28 00:00:00,12:00:00,2004-05-31 00:00:00.000000000,00:00:00,"Florida counties of Gadsden, Wakulla, Leon, and Liberty",FRCC,Public Appeals ,0.0,0,
1032,2004-01-01,June,2004-06-01 00:00:00,17:00:00,2004-06-02 00:00:00.000000000,01:00:00,"Collin, Dallas, Denton, Ellis, Parker, and Tarrant Counties, Texas ",ERCOT,Severe Storms with Strong Winds,1900.0,500000,
1033,2004-01-01,June,2004-06-02 00:00:00,01:46:00,2004-06-07 00:00:00.000000000,16:00:00,"Shreveport, Louisiana",ECAR,Severe  Thunderstorms with Strong Winds,350.0,59057,
1034,2004-01-01,June,2004-06-02 00:00:00,02:35:00,2004-06-06 00:00:00.000000000,18:00:00,"Tulsa, Oklahoma",ECAR,Severe Thunderstorms with Strong Winds,280.0,56874,
1035,2004-01-01,June,2004-06-12 00:00:00,17:37:00,2004-06-12 00:00:00.000000000,17:41:00,"Lincoln, Nebraska",MAPP,Tornado,428.0,120212,
1036,2004-01-01,June,2004-06-14 00:00:00,07:41:00,2004-06-14 00:00:00.000000000,14:39:00,"Phoenix, Arizona",WECC ,Fault on Line,200.0,30000,
1037,2004-01-01,June,2004-06-23 00:00:00,17:35:00,2004-06-23 00:00:00.000000000,19:10:00,Southern Idaho,WECC,Load Shedding,157.0,35000,
1038,2004-01-01,June,2004-06-23 00:00:00,19:00:00,2004-06-23 00:00:00.000000000,20:00:00,Georgia and Alabama,SERC,Thunderstorms,50.0,50595,
1039,2004-01-01,July,2004-07-06 00:00:00,06:00:00,2004-08-09 00:00:00.000000000,12:00:00,"Metro Phoenix, Arizona",WECC,FireSubstation Multiple Public Appeals,-,,
1040,2004-01-01,July,2004-07-06 00:00:00,06:00:00,2004-08-09 00:00:00.000000000,12:00:00,"Metro Phoenix, Arizona",WECC ,FireSubstation Multiple Public Appeals,-,,
1041,2004-01-01,July,2004-07-07 00:00:00,13:30:00,2004-07-07 00:00:00.000000000,23:54:00,Central Virginia,SERC,Severe Thunderstorms,120.0,88110,
1042,2004-01-01,July,2004-07-13 00:00:00,13:34:00,2004-07-13 00:00:00.000000000,17:15:00,"Leon  County, Florida",FRCC,Units Tripped,283.0,42124,
1043,2004-01-01,July,2004-07-13 00:00:00,16:30:00,2004-07-17 00:00:00.000000000,08:00:00,"West, West Central and Southern Indiana",ECAR,Severe Thunderstorms,600.0,135000,
1044,2004-01-01,July,2004-07-20 00:00:00,14:26:00,2004-07-21 00:00:00.000000000,02:00:00,"Soledad Canyon near Acton, California",WECC,WildfireShed Interruptible Load,214.0,,
1045,2004-01-01,July,2004-07-20 00:00:00,15:44:00,2004-07-20 00:00:00.000000000,17:51:00,"Regions of  San Juan, Caguas, Ponce, Bayamon, Carolina, Arecibo and Mayaguez",PR,Wildfire,200.0,61624,
1046,2004-01-01,July,2004-07-21 00:00:00,17:30:00,2004-07-22 00:00:00.000000000,19:00:00,"Chicago, Illinois",MAIN,Severe Thunderstorms,Approx. 200,200000,
1047,2004-01-01,July,2004-07-24 00:00:00,15:45:00,2004-07-25 00:00:00.000000000,21:00:00,Southwest Louisiana in the Acadia Parish vicinity,SPP,Public Appeal  ,-,,
1048,2004-01-01,July,2004-07-25 00:00:00,22:00:00,2004-07-25 00:00:00.000000000,23:00:00,"Georgia, Alabama, Florida panhandle, Southern Mississippi",SERC,Severe Storms,61.0,61004,
1049,2004-01-01,August,2004-08-02 00:00:00,10:00:00,2004-08-02 00:00:00.000000000,20:00:00,Southeast Texas,SPP,Unplanned Generator OutageHigh Loads Made Public Appeal,-,,
1050,2004-01-01,August,2004-08-03 00:00:00,21:00:00,2004-08-04 00:00:00.000000000,07:00:00,Northern Illinois,MAIN,Severe Storm,127.0,127000,
1051,2004-01-01,August,2004-08-04 00:00:00,12:46:00,2004-08-04 00:00:00.000000000,13:50:00,"Northwest Orange County, California",WECC,Fault at Barre Substation,480.0,182000,
1052,2004-01-01,August,2004-08-09 00:00:00,08:23:00,2004-08-09 00:00:00.000000000,11:10:00,Whole Island of Puerto Rico,PR,Two Large Units Tripped,451.7,259478,
1053,2004-01-01,August,2004-08-13 00:00:00,08:00:00,2004-08-23 00:00:00.000000000,00:00:00,"Florida counties of Hardee, Highlands, Lake, Orange, Osceola, Polk, Seminole, Volusia",FRCC,Hurricane Charley,1300.0,502000,
1054,2004-01-01,August,2004-08-13 00:00:00,15:00:00,2004-08-13 00:00:00.000000000,23:00:00,West Coast of Florida from Naples to Charlotte and in an area centered around Daytona Beach,FRCC,Hurricane Charley,1400.0,1200000,
1055,2004-01-01,August,2004-08-13 00:00:00,13:30:00,2004-08-13 00:00:00.000000000,00:00:00,"Florida counties of Collier, Hendry, Glades, Highlands, Charlotte, Desoto, Lee, Hardee, and Polk",FRCC ,Hurricane Charley,700.0,200000,
1056,2004-01-01,August,2004-08-13 00:00:00,16:43:00,2004-08-13 00:00:00.000000000,20:24:00,"Eastern Hillsborough, Polk County, Florida",FRCC,Hurricane Charley,250.0,78000,
1057,2004-01-01,August,2004-08-13 00:00:00,22:04:00,2004-08-14 00:00:00.000000000,16:23:00,"New Smyrna Beach, Florida",FRCC,Hurricane Charley,65.0,23000,
1058,2004-01-01,August,2004-08-14 00:00:00,13:00:00,2004-08-14 00:00:00.000000000,23:00:00,Central and Eastern North Carolina and Northern and Eastern South Carolina,SERC,Hurricane Charley,500.0,94000,
1059,2004-01-01,August,2004-08-20 00:00:00,15:31:00,2004-08-20 00:00:00.000000000,21:45:00,"Boston, Massachusetts",NPCC,Major Transmission Line Tripped due to Lightning Strike,22700.0,380000,
1060,2004-01-01,August,2004-08-29 00:00:00,,2004-08-29 00:00:00.000000000,18:00:00,Southeastern South Carolina,SERC,Tropical Storm Gaston,450.0,125000,
1061,2004-01-01,August,2004-08-30 00:00:00,18:58:00,2004-08-31 00:00:00.000000000,15:35:00,"Central Virginia, South to North Carolina and East to the Virginia Coast",SERC,Tropical Storm Gaston,150.0,99816,
1062,2004-01-01,September,2004-09-03 00:00:00,21:00:00,2004-09-05 00:00:00.000000000,14:00:00,"City of Fort Pierce, Florida",FRCC,Hurricane Frances,125.0,26000,
1063,2004-01-01,September,2004-09-04 00:00:00,08:00:00,2004-09-06 00:00:00.000000000,08:00:00,"West Palm Beach to Daytona Beach, Florida",FRCC,Hurricane Frances,6000.0,2775093,
1064,2004-01-01,September,2004-09-04 00:00:00,10:00:00,2004-09-12 00:00:00.000000000,19:00:00,"Hillsborough, Pasco, and Polk County, Florida",FRCC,Hurricane Frances,1100.0,268000,
1065,2004-01-01,September,2004-09-05 00:00:00,01:00:00,2004-09-09 00:00:00.000000000,17:00:00,"Orlando, Florida",FRCC,Hurricane Frances,200.0,65000,
